date,deaths_total,natl_total,natl_ratio,month,region,deaths_total_lag1,deaths_total_lag12,ratio_25_49,ratio_50_64,ratio_65_69,ratio_65_plus,ratio_70_plus,ratio_75_plus,ratio_80_plus,ratio_85_plus,year,month_sin,month_cos,deaths_rolling3,deaths_diff1,cause_cerebro,cause_cancer,cause_pneumonia,cause_cardio,event_dummy,is_winter,is_summer,season_spring,season_summer,season_winter,expected_deaths,excess_mortality,year_sq,era_2000s,era_2010s,era_2020s,rolling_std_3,rolling_std_6,diff2,winter_event,summer_event,elderly65_winter,elderly75_winter,elderly85_winter
2013-02-01,1704,21903.0,0.9722903154208488,2,경상북도,1839.0,2094.0,38.7,21.3,3.7,11.3,7.6,4.2,1.9,0.7,2013,0.8660254037844385,0.5000000000000001,1771.0,94.0,167.464298345581,405.80115220219295,90.27144046627812,106.32702224841609,0,1,0,0,0,1,1387.8461538461538,22.780179580977723,4052169,0,1,0,77.94228634060039,61.905304026909455,135.0,0,0,11.3,4.2,0.7
2013-03-01,1826,24221.0,1.075188044094799,3,경상북도,1704.0,1894.0,38.7,21.3,3.7,11.3,7.6,4.2,1.9,0.7,2013,1.0,6.123233995736766e-17,1762.6666666666667,-135.0,181.57385939403463,451.979504606154,100.92848552132484,125.0691026963312,0,0,0,1,0,0,1547.923076923077,17.964518212990114,4052169,0,1,0,70.43673284113531,65.98004748910094,122.0,0,0,0.0,0.0,0.0
2013-03-01,1826,24221.0,1.075188044094799,3,경상북도,1704.0,1894.0,38.7,21.3,3.7,11.3,7.6,4.2,1.9,0.7,2013,1.0,6.123233995736766e-17,1762.6666666666667,-135.0,181.57385939403463,451.979504606154,100.92848552132484,125.0691026963312,0,0,0,1,0,0,1547.923076923077,17.964518212990114,4052169,0,1,0,70.43673284113531,66.61131035090015,-122.0,0,0,0.0,0.0,0.0
2013-04-01,1792,22259.0,0.988093417840144,4,경상북도,1826.0,1707.0,38.7,21.3,3.7,11.3,7.6,4.2,1.9,0.7,2013,0.8660254037844387,-0.4999999999999997,1789.6666666666667,122.0,163.30082131488976,425.12501659277353,93.31631048200576,112.90960660085456,0,0,0,1,0,0,1425.826923076923,25.68145340760422,4052169,0,1,0,19.629909152450924,62.2717164261913,-34.0,0,0,0.0,0.0,0.0
2013-04-01,1792,22259.0,0.988093417840144,4,경상북도,1826.0,1707.0,38.7,21.3,3.7,11.3,7.6,4.2,1.9,0.7,2013,0.8660254037844387,-0.4999999999999997,1789.6666666666667,122.0,163.30082131488976,425.12501659277353,93.31631048200576,112.90960660085456,0,0,0,1,0,0,1425.826923076923,25.68145340760422,4052169,0,1,0,19.629909152450924,56.3134087051864,34.0,0,0,0.0,0.0,0.0
2013-05-01,1627,21946.0,0.9741991171175616,5,경상북도,1792.0,1669.0,38.7,21.3,3.7,11.3,7.6,4.2,1.9,0.7,2013,0.4999999999999999,-0.8660254037844386,1774.0,-34.0,158.98314143120996,440.7546127910373,87.85345545378851,101.2072344187417,0,0,0,1,0,0,1412.1153846153843,15.217213672885748,4052169,0,1,0,95.262794416289,79.46928127688146,-165.0,0,0,0.0,0.0,0.0
2013-05-01,1627,21946.0,0.9741991171175616,5,경상북도,1792.0,1669.0,38.7,21.3,3.7,11.3,7.6,4.2,1.9,0.7,2013,0.4999999999999999,-0.8660254037844386,1774.0,-34.0,158.98314143120996,440.7546127910373,87.85345545378851,101.2072344187417,0,0,0,1,0,0,1412.1153846153843,15.217213672885748,4052169,0,1,0,95.262794416289,95.2064423590346,165.0,0,0,0.0,0.0,0.0
2013-06-01,1544,20296.0,0.9009544008483564,6,경상북도,1627.0,1557.0,38.7,21.3,3.7,11.3,7.6,4.2,1.9,0.7,2013,1.2246467991473532e-16,-1.0,1748.3333333333333,-165.0,144.56517467677918,431.376855072079,72.44999537422518,87.85921614851922,0,0,1,0,1,0,1307.8461538461538,18.05669921185743,4052169,0,1,0,47.92007234274039,116.43653493068425,-83.0,0,0,0.0,0.0,0.0
2013-06-01,1544,20296.0,0.9009544008483564,6,경상북도,1627.0,1557.0,38.7,21.3,3.7,11.3,7.6,4.2,1.9,0.7,2013,1.2246467991473532e-16,-1.0,1748.3333333333333,-165.0,144.56517467677918,431.376855072079,72.44999537422518,87.85921614851922,0,0,1,0,1,0,1307.8461538461538,18.05669921185743,4052169,0,1,0,47.92007234274039,112.9117649612507,83.0,0,0,0.0,0.0,0.0
2013-07-01,1546,20519.0,0.9108535352289822,7,경상북도,1544.0,1566.0,38.7,21.3,3.7,11.3,7.6,4.2,1.9,0.7,2013,-0.4999999999999997,-0.8660254037844387,1654.3333333333333,-83.0,143.87126183833064,449.8481960336634,64.92737533536868,86.2135700604096,0,0,1,0,1,0,1329.076923076923,16.32133348767218,4052169,0,1,0,1.154700538440655,96.37772910099594,2.0,0,0,0.0,0.0,0.0
2013-07-01,1546,20519.0,0.9108535352289822,7,경상북도,1544.0,1566.0,38.7,21.3,3.7,11.3,7.6,4.2,1.9,0.7,2013,-0.4999999999999997,-0.8660254037844387,1654.3333333333333,-83.0,143.87126183833064,449.8481960336634,64.92737533536868,86.2135700604096,0,0,1,0,1,0,1329.076923076923,16.32133348767218,4052169,0,1,0,1.154700538440655,42.354063165948986,-2.0,0,0,0.0,0.0,0.0
2013-08-01,1570,21252.0,0.9433919455473624,8,경상북도,1546.0,1539.0,38.7,21.3,3.7,11.3,7.6,4.2,1.9,0.7,2013,-0.8660254037844383,-0.5000000000000003,1572.3333333333333,2.0,148.49734742798756,454.7502057503916,71.10667036728653,93.71040223957566,0,0,1,0,1,0,1368.8653846153843,14.693527767241266,4052169,0,1,0,13.85640646055614,32.999494945608646,24.0,0,0,0.0,0.0,0.0
2013-08-01,1570,21252.0,0.9433919455473624,8,경상북도,1546.0,1539.0,38.7,21.3,3.7,11.3,7.6,4.2,1.9,0.7,2013,-0.8660254037844383,-0.5000000000000003,1572.3333333333333,2.0,148.49734742798756,454.7502057503916,71.10667036728653,93.71040223957566,0,0,1,0,1,0,1368.8653846153843,14.693527767241266,4052169,0,1,0,13.85640646055614,12.94089126240177,-24.0,0,0,0.0,0.0,0.0
2013-09-01,1553,21151.0,0.9389084810969444,9,경상북도,1570.0,1536.0,38.7,21.3,3.7,11.3,7.6,4.2,1.9,0.7,2013,-1.0,-1.8369701987210287e-16,1553.3333333333333,24.0,151.11879592879316,452.5478535588181,70.03201036173559,91.05908354206572,0,0,0,0,0,0,1349.8076923076924,15.053426414019086,4052169,0,1,0,9.814954576230832,12.139467313902106,-17.0,0,0,0.0,0.0,0.0
2013-09-01,1553,21151.0,0.9389084810969444,9,경상북도,1570.0,1536.0,38.7,21.3,3.7,11.3,7.6,4.2,1.9,0.7,2013,-1.0,-1.8369701987210287e-16,1553.3333333333333,24.0,151.11879592879316,452.5478535588181,70.03201036173559,91.05908354206572,0,0,0,0,0,0,1349.8076923076924,15.053426414019086,4052169,0,1,0,9.814954576230832,11.039323650717414,17.0,0,0,0.0,0.0,0.0
2013-10-01,1710,22718.0,1.008468766184123,10,경상북도,1553.0,1775.0,38.7,21.3,3.7,11.3,7.6,4.2,1.9,0.7,2013,-0.8660254037844385,0.5,1556.3333333333333,-17.0,167.69560262506386,461.7835240396103,74.4202053844019,103.03573007219684,0,0,0,0,0,0,1447.826923076923,18.108039900646855,4052169,0,1,0,90.64399226277206,62.66312046702698,157.0,0,0,0.0,0.0,0.0
2013-10-01,1710,22718.0,1.008468766184123,10,경상북도,1553.0,1775.0,38.7,21.3,3.7,11.3,7.6,4.2,1.9,0.7,2013,-0.8660254037844385,0.5,1556.3333333333333,-17.0,167.69560262506386,461.7835240396103,74.4202053844019,103.03573007219684,0,0,0,0,0,0,1447.826923076923,18.108039900646855,4052169,0,1,0,90.64399226277206,77.0610147869746,-157.0,0,0,0.0,0.0,0.0
2013-11-01,1750,22802.0,1.0121975881032823,11,경상북도,1710.0,1729.0,38.7,21.3,3.7,11.3,7.6,4.2,1.9,0.7,2013,-0.5000000000000003,0.8660254037844383,1611.0,157.0,174.78893386253782,456.6683834656331,76.65908039596633,108.70406659790775,0,0,0,0,0,0,1444.2692307692307,21.1685441133392,4052169,0,1,0,23.09401076758813,91.57728976115284,40.0,0,0,0.0,0.0,0.0
2013-11-01,1750,22802.0,1.0121975881032823,11,경상북도,1710.0,1729.0,38.7,21.3,3.7,11.3,7.6,4.2,1.9,0.7,2013,-0.5000000000000003,0.8660254037844383,1611.0,157.0,174.78893386253782,456.6683834656331,76.65908039596633,108.70406659790775,0,0,0,0,0,0,1444.2692307692307,21.1685441133392,4052169,0,1,0,23.09401076758813,93.1364590265165,-40.0,0,0,0.0,0.0,0.0
2013-12-01,1784,23260.0,1.0325285457101283,12,경상북도,1750.0,1745.0,38.7,21.3,3.7,11.3,7.6,4.2,1.9,0.7,2013,-2.4492935982947064e-16,1.0,1671.0,40.0,178.56690376075764,469.3851912814931,79.79350541215653,110.89826138205392,0,1,0,0,0,1,1530.3461538461538,16.57493277036367,4052169,0,1,0,19.629909152450924,81.6376138798641,34.0,0,0,11.3,4.2,0.7
2013-12-01,1784,23260.0,1.0325285457101283,12,경상북도,1750.0,1745.0,38.7,21.3,3.7,11.3,7.6,4.2,1.9,0.7,2013,-2.4492935982947064e-16,1.0,1671.0,40.0,178.56690376075764,469.3851912814931,79.79350541215653,110.89826138205392,0,1,0,0,0,1,1530.3461538461538,16.57493277036367,4052169,0,1,0,19.629909152450924,33.13004678532121,-34.0,0,0,11.3,4.2,0.7
2014-01-01,1728,23387.0,1.0381661693260007,1,경상북도,1784.0,1839.0,38.2,21.8,3.9,11.9,8.0,4.5,2.1,0.8,2014,0.4999999999999999,0.8660254037844386,1748.0,34.0,180.04888507718695,452.060826774223,88.36910406788121,107.09701071630003,0,1,0,0,0,1,1550.173076923077,11.471423786425834,4056196,0,1,0,32.331615074621205,29.631064780016867,-56.0,0,0,11.9,4.5,0.8
2014-01-01,1728,23387.0,1.0381661693260007,1,경상북도,1784.0,1839.0,38.2,21.8,3.9,11.9,8.0,4.5,2.1,0.8,2014,0.4999999999999999,0.8660254037844386,1748.0,34.0,180.04888507718695,452.060826774223,88.36910406788121,107.09701071630003,0,1,0,0,0,1,1550.173076923077,11.471423786425834,4056196,0,1,0,32.331615074621205,25.23489647289125,56.0,0,0,11.9,4.5,0.8
2014-02-01,1680,23135.0,1.026979703568522,2,경상북도,1728.0,1704.0,38.2,21.8,3.9,11.9,8.0,4.5,2.1,0.8,2014,0.8660254037844385,0.5000000000000001,1754.0,-56.0,177.86363636363637,435.7544477947032,98.06713251809336,110.67287084038352,0,1,0,0,0,1,1387.8461538461538,21.050881277020288,4056196,0,1,0,27.7128129211046,39.56597865166826,-48.0,0,0,11.9,4.5,0.8
